"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.215829167E0,1.194811422E0,-6.039068645E-1,-4.615920675E-1,1.416102070E0
1.225816167E0,1.470205923E0,-6.393565596E-1,-5.437659127E-1,1.692915720E0
1.235802167E0,1.705002622E0,-4.039881494E-1,-9.074282277E-1,1.973237531E0
1.245789167E0,1.819934762E0,7.380626030E-2,-9.810119283E-1,2.068814710E0
1.255776167E0,1.895553586E0,5.374044344E-1,-1.232990670E0,2.324261800E0
1.265763167E0,2.062825469E0,6.800485028E-1,-1.140882406E0,2.453431789E0
1.275750167E0,2.159219158E0,7.421916874E-1,-1.099750752E0,2.534270623E0
1.285736167E0,2.386108959E0,7.651498295E-1,-1.349939076E0,2.846279280E0
1.295723167E0,2.011043258E0,6.772647896E-1,-1.446857260E0,2.568341588E0
1.305710167E0,1.395230878E0,9.886698805E-2,-1.344058532E0,1.939829173E0
1.315697167E0,6.613313462E-1,-6.885288658E-1,-1.145321027E0,1.491037023E0
1.325684167E0,8.530973616E-1,-6.297514115E-1,-8.166344172E-1,1.338377271E0
1.335670167E0,7.728769250E-1,7.958542898E-2,-1.066666621E-1,7.842514638E-1
1.345657167E0,2.885124376E-1,3.703579617E-1,1.379825950E-2,4.696752478E-1
1.355644167E0,2.325266634E-1,1.870236312E-1,2.613003731E-1,3.966413654E-1
1.365631167E0,7.982032625E-1,7.045894861E-2,4.495245838E-1,9.187846664E-1
1.375618167E0,1.364827549E0,-5.901638612E-2,6.014481103E-1,1.492640949E0
1.385604167E0,1.752766188E0,-2.029675265E-1,7.018383712E-1,1.898937131E0
1.395591167E0,2.056422037E0,-6.879449482E-1,9.439294714E-1,2.364982599E0
1.405578167E0,1.953119424E0,-1.284272213E0,1.276831339E0,2.663518138E0
1.415565167E0,1.925617045E0,-1.436986137E0,1.549285276E0,2.858883529E0
1.425552167E0,1.957571202E0,-1.075397903E0,1.961268981E0,2.972396622E0
1.435538167E0,1.877431311E0,-6.117720274E-1,2.187447469E0,2.946852519E0
1.445525167E0,1.827187648E0,-3.622790100E-1,2.138568254E0,2.836077390E0
1.455512167E0,1.879196877E0,-5.993600696E-2,1.693299859E0,2.530264342E0
1.465499167E0,1.965140423E0,2.345239261E-1,1.455617559E0,2.456745984E0
1.475486167E0,1.993466089E0,-1.484721344E-1,2.287766393E0,3.038062885E0
1.485472167E0,1.857586153E0,-8.589806838E-1,2.922914931E0,3.568179624E0
1.495459167E0,1.886266746E0,-9.908771313E-1,1.988475491E0,2.914425244E0
1.505446167E0,2.073076808E0,-4.483463699E-1,1.570895416E0,2.639389006E0
1.515433167E0,2.280191618E0,2.007443054E-1,1.958513188E0,3.012531494E0
1.525420167E0,2.051218161E0,4.668950535E-1,2.395286749E0,3.187928096E0
1.535406167E0,1.668237815E0,7.462520671E-1,2.500375248E0,3.097060854E0
1.545393167E0,1.316773961E0,1.033238601E0,2.127699450E0,2.707135131E0
1.555380167E0,1.311334443E0,1.125511976E0,1.402072851E0,2.225350199E0
1.565367167E0,1.862190105E0,7.331068685E-1,1.207138376E0,2.337173662E0
1.575354167E0,2.383917131E0,-3.724450522E-1,3.131325485E0,3.953096949E0
1.585340167E0,2.555566531E0,-9.939005803E-1,5.315552307E0,5.981124893E0
1.595327167E0,2.520561298E0,-8.404991701E-1,5.894555295E0,6.465713436E0
1.605314167E0,2.120330496E0,-9.407808919E-1,5.218699027E0,5.711014764E0
1.615301167E0,1.092857762E0,-1.567300986E0,4.103490576E0,4.526522437E0
1.625288167E0,-1.340474188E-1,-2.043931361E0,3.381048955E0,3.953114741E0
1.635274167E0,-1.242119343E0,-2.222656770E0,2.933828174E0,3.884637864E0
1.645261167E0,-1.582785144E0,-2.305329090E0,2.114201152E0,3.505652227E0
1.655248167E0,-1.456436462E0,-2.436777276E0,1.166789079E0,3.069281254E0
1.665235167E0,-1.471325519E0,-2.320015396E0,-3.182569313E-1,2.765602591E0
1.675222167E0,-2.194802974E0,-1.861121087E0,-1.815628873E0,3.402563739E0
1.685208167E0,-2.720909418E0,-1.693207473E0,-2.372531725E0,3.987380893E0
1.695195167E0,-2.454298019E0,-1.633683840E0,-2.536923269E0,3.889534847E0
1.705182167E0,-2.090246572E0,-1.349537226E0,-2.937777384E0,3.849794464E0
1.715169167E0,-1.644185294E0,-1.200826453E0,-3.272034636E0,3.853769597E0
1.725156167E0,-1.285734602E0,-1.142828944E0,-3.190554855E0,3.624749887E0
1.735142167E0,-7.066599852E-1,-8.907247791E-1,-3.116256625E0,3.317199771E0
1.745129167E0,-3.913462499E-1,-6.297106272E-1,-2.604027670E0,2.707516845E0
1.755116167E0,-5.250834739E-1,-3.736227545E-1,-1.762915639E0,1.877013097E0
1.765103167E0,-5.655798277E-1,2.150842729E-1,-9.349487329E-1,1.113674512E0
1.775090167E0,-5.121962106E-1,9.742773977E-1,-8.372242177E-1,1.382933764E0
1.785076167E0,-6.117877418E-1,1.264491083E0,-1.274515842E0,1.896737349E0
1.795063167E0,-1.508060067E0,5.820534807E-1,-2.465480234E0,2.948156068E0
1.805050167E0,-2.052068054E0,1.109324983E-1,-3.624565022E0,4.166624643E0
1.815037167E0,-1.505943667E0,7.059890172E-1,-3.829025196E0,4.174652174E0
1.825024167E0,-1.452678456E0,1.005752082E0,-3.804031273E0,4.194337358E0
