"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.144174583E0,4.427204713E-1,5.245829523E-3,4.265017569E-2,4.448010476E-1
1.154210583E0,3.579449075E-1,-1.465233305E-1,9.650770962E-2,3.986318869E-1
1.164247583E0,3.172637817E-1,-2.277338469E-1,8.983720601E-2,4.007364917E-1
1.174284583E0,3.304080302E-1,-2.072560206E-1,1.005136371E-2,3.901609339E-1
1.184320583E0,3.499438700E-1,-1.266179466E-1,-6.646413088E-2,3.780347831E-1
1.194357583E0,3.341905940E-1,-5.419725716E-2,-1.594184875E-1,3.742124396E-1
1.204394583E0,2.088315529E-1,-9.863375723E-2,-2.411058444E-1,3.338731252E-1
1.214430583E0,6.842645645E-2,-2.213036638E-1,-3.036026394E-1,3.818796332E-1
1.224467583E0,8.965272635E-2,-2.158920658E-1,-4.710949624E-1,5.259063215E-1
1.234503583E0,1.232242227E-1,-1.771776509E-1,-5.673991889E-1,6.070568084E-1
1.244540583E0,1.021014485E-1,-1.166472745E-1,-6.082110000E-1,6.276558873E-1
1.254577583E0,8.391543835E-2,-1.034430921E-1,-6.331797802E-1,6.470385678E-1
1.264613583E0,5.716267258E-2,-1.366561541E-1,-5.738814121E-1,5.926907716E-1
1.274650583E0,2.131397814E-2,-1.354428568E-1,-3.856554472E-1,4.093032826E-1
1.284687583E0,3.599253595E-2,-7.788169652E-2,-2.382681906E-1,2.532444510E-1
1.294723583E0,1.085541433E-1,-4.168509275E-2,-1.366739881E-1,1.794475634E-1
1.304760583E0,1.281604421E-1,-6.824723929E-2,-7.028996408E-2,1.613178962E-1
1.314797583E0,4.883448333E-2,-1.037106022E-1,-1.091376954E-1,1.582773905E-1
1.324833583E0,-7.784982920E-2,-1.106413069E-1,-2.336494750E-1,2.699892069E-1
1.334870583E0,-8.854877204E-2,1.307320476E-2,-3.564293092E-1,3.674964574E-1
1.344906583E0,-6.111305147E-2,1.347242340E-1,-4.081192803E-1,4.341045626E-1
1.354943583E0,-4.688063622E-2,1.849225804E-1,-4.816287214E-1,5.180351147E-1
1.364980583E0,-7.694438785E-2,2.427410182E-1,-4.183565855E-1,4.897610370E-1
1.375016583E0,-1.530464843E-1,2.880996242E-1,-4.270958340E-1,5.374341553E-1
1.385053583E0,-2.237138861E-1,2.758353817E-1,-4.975021577E-1,6.112621840E-1
1.395090583E0,-2.573844928E-1,3.011204964E-1,-4.732145780E-1,6.171323742E-1
1.405126583E0,-2.245827824E-1,3.625975370E-1,-4.248943573E-1,6.020378849E-1
1.415163583E0,-1.142274043E-1,3.488647664E-1,-4.973127079E-1,6.181217150E-1
1.425199583E0,5.698404014E-3,3.031839788E-1,-6.001909590E-1,6.724449301E-1
1.435236583E0,5.371135354E-2,2.521991819E-1,-7.015080035E-1,7.473973614E-1
1.445273583E0,8.720975965E-2,1.952250820E-1,-7.982899475E-1,8.264291955E-1
1.455309583E0,1.559002179E-1,2.130395016E-1,-7.910464168E-1,8.339335349E-1
