Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
1.175272917,0.01489980184,-0.001383744726,-0.288178854,0.2885670992,freestyle
1.185309917,0.1099536744,0.1398421466,-0.249760893,0.3066368212,freestyle
1.195346917,0.08133769333,0.2108961682,-0.3202496624,0.391985791,freestyle
1.205384917,-0.01521284714,0.242097386,-0.4348971891,0.4979740356,freestyle
1.215421917,-0.1296603991,0.2933600718,-0.549311412,0.6360935294,freestyle
1.225458917,-0.2967349385,0.2716017783,-0.6260637188,0.7441605537,freestyle
1.235496917,-0.399714858,0.2162102639,-0.671879577,0.8111356311,freestyle
1.245533917,-0.389316389,0.1727377322,-0.637754057,0.7669001318,freestyle
1.255570917,-0.3861056098,0.1377422561,-0.5755367589,0.7066067024,freestyle
1.265608917,-0.3043670898,0.1131956265,-0.5632231075,0.6501329433,freestyle
1.275645917,-0.2168682584,0.1696377394,-0.5195660412,0.5880116286,freestyle
1.285682917,-0.2226417261,0.2180436219,-0.4920163,0.5824022653,freestyle
1.295720917,-0.2665315846,0.2775360079,-0.4409730309,0.5852542484,freestyle
1.305757917,-0.4022678255,0.1736098261,-0.2771165067,0.5184142488,freestyle
1.315794917,-0.4738079242,0.04262759082,-0.1280931991,0.4926651279,freestyle
1.325832917,-0.3873419304,0.0009329232574,0.07585125089,0.394699954,freestyle
1.335869917,-0.2906704257,-0.02509142563,0.2605560225,0.3911627754,freestyle
1.345907917,-0.2736453802,-0.06891294479,0.5330672622,0.6031513028,freestyle
1.35594525,-0.2100756211,-0.0826656691,0.7470332551,0.7803999383,freestyle
1.36598225,-0.1987674715,-0.1641835298,0.9589626628,0.9930126524,freestyle
1.37602025,-0.1654411928,-0.279157258,1.18734789,1.23089178,freestyle
1.38605725,-0.009436748251,-0.3623833097,1.321640307,1.370453872,freestyle
1.39609425,0.1903266502,-0.3536547323,1.339448587,1.398362764,freestyle
1.40613225,0.3906358132,-0.2948760355,1.242783587,1.335686812,freestyle
1.41616925,0.5238285153,-0.2662008514,1.032609513,1.188083168,freestyle
1.42620625,0.7368933792,-0.103586422,0.6317051125,0.9761113401,freestyle
1.43624425,0.6720822562,-0.0869589141,0.5334970325,0.8624821711,freestyle
1.44628125,0.4303451318,-0.1178642993,0.4223315227,0.6143719074,freestyle
1.45631825,0.3038479301,-0.03065943673,-0.03488624275,0.3073769927,freestyle
1.46635625,0.1392276864,0.06369269684,-0.3678302103,0.3984221027,freestyle
1.47639325,-0.1092153903,0.1381131341,-0.5742918867,0.6006782919,freestyle
1.48643025,-0.4081121906,0.165869282,-0.7123212594,0.8375379128,freestyle
1.49646825,-0.6933751843,0.1183066412,-0.7283297664,1.012536348,freestyle
1.50650525,-0.8510700589,0.09352329075,-0.7044579238,1.108750566,freestyle
1.51654225,-0.8732136838,-0.06241698056,-0.6619720548,1.097544996,freestyle
1.52658025,-0.6883808582,-0.1384420399,-0.6705195147,0.9708917673,freestyle
1.53661725,-0.408810275,-0.1170445928,-0.5973053581,0.7332114077,freestyle
