"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.113592083E0,1.573023802E0,2.832968382E0,1.435499629E0,3.544118074E0
1.123628083E0,1.767188199E0,2.788095095E0,1.523751655E0,3.635690787E0
1.133665083E0,2.119229758E0,2.652813329E0,2.035887054E0,3.958963175E0
1.143702083E0,2.321303099E0,2.814603447E0,2.449358291E0,4.394291374E0
1.153738083E0,2.230544372E0,2.848298028E0,2.487127211E0,4.390208607E0
1.163775083E0,1.940516043E0,2.520850443E0,2.389938886E0,3.978956816E0
1.173812083E0,1.528124202E0,2.140167760E0,2.204110279E0,3.431265618E0
1.183848083E0,1.118306306E0,2.048003947E0,1.981634248E0,3.061340140E0
1.193885208E0,8.387211049E-1,2.086288007E0,1.592741783E0,2.755517578E0
1.203922208E0,7.380162638E-1,2.150524641E0,1.681104906E0,2.827638226E0
1.213958208E0,9.324145496E-1,2.178780141E0,1.824917175E0,2.991120608E0
1.223995208E0,1.105150363E0,2.119200814E0,1.802400132E0,2.993495557E0
1.234032208E0,1.022566043E0,2.069038136E0,1.735361220E0,2.887566221E0
1.244068208E0,8.888124472E-1,1.796451175E0,1.689930693E0,2.621657898E0
1.254105208E0,1.181501843E0,1.555083375E0,2.039559106E0,2.823832901E0
1.264142208E0,1.730049024E0,1.840500881E0,2.094137017E0,3.281146593E0
1.274178208E0,2.004268528E0,2.144418978E0,1.186952033E0,3.166145956E0
1.284215208E0,1.875339469E0,1.871937267E0,2.466642076E-1,2.661182160E0
1.294251208E0,1.465396735E0,1.407402296E0,2.308574295E-1,2.044862823E0
1.304288208E0,9.369543278E-1,8.966909856E-1,6.851872551E-1,1.466771867E0
1.314325208E0,1.826085448E-1,4.006146714E-1,8.993310034E-1,1.001316258E0
1.324361208E0,-4.555975020E-2,7.461778075E-2,5.984818178E-1,6.048338535E-1
1.334398208E0,1.534584206E-1,-2.569900981E-1,5.594072145E-1,6.344523852E-1
1.344435208E0,2.833315122E-1,-9.109096599E-1,1.117299415E0,1.469146398E0
1.354471208E0,-3.828464448E-1,-1.606367842E0,8.093821156E-1,1.839045527E0
1.364508208E0,-1.354373020E0,-1.756117081E0,2.962298852E-1,2.237414942E0
1.374545208E0,-1.113099360E0,-1.273530586E0,-2.178029358E-2,1.691550981E0
1.384581208E0,-7.163991076E-1,-5.812907115E-1,-3.458125198E-1,9.852476193E-1
1.394618208E0,-4.418869507E-1,1.270038629E-1,-6.521306062E-1,7.979150242E-1
1.404655208E0,-9.341628671E-2,6.593715057E-1,-9.039625829E-1,1.122784813E0
1.414691208E0,9.577856183E-2,8.037766823E-1,-1.107794766E0,1.372020311E0
1.424728208E0,-4.645086586E-2,5.436051142E-1,-1.410642530E0,1.512473653E0
1.434765208E0,-3.491378313E-1,9.251143008E-2,-1.612762064E0,1.652712034E0
1.444801208E0,-9.650385046E-1,-5.948085970E-1,-1.351759315E0,1.764185315E0
1.454838208E0,-1.793707076E0,-1.525633581E0,-9.744607079E-1,2.548434141E0
1.464875208E0,-2.274451699E0,-2.317855580E0,-6.045021111E-1,3.303181470E0
1.474911208E0,-2.273126135E0,-2.811698258E0,1.946485466E-1,3.620861441E0
1.484948208E0,-2.516719385E0,-2.949137354E0,9.028884494E-1,3.980765649E0
1.494985208E0,-2.670416957E0,-2.693904052E0,1.180877361E0,3.972746796E0
1.505021208E0,-2.134527243E0,-2.079788242E0,8.851807415E-1,3.108901836E0
1.515058208E0,-1.531489860E0,-1.297480489E0,5.994097710E-2,2.008110985E0
1.525095208E0,-9.396908247E-1,-5.404748073E-1,-4.364151263E-1,1.168584625E0
1.535131208E0,-6.021708262E-1,9.093151242E-2,-6.820701045E-1,9.143838752E-1
1.545168208E0,-5.141684765E-1,1.907879224E-1,-8.371289080E-1,1.000776729E0
1.555204208E0,-5.266598833E-1,-1.018257523E-1,-5.590031719E-1,7.747410294E-1
1.565241208E0,-5.662648290E-1,-3.496173030E-1,-3.613509107E-1,7.572731316E-1
1.575278208E0,-6.438100183E-1,-4.950869653E-1,-5.756308991E-1,9.954664107E-1
1.585314208E0,-3.813612521E-1,-7.140920886E-1,-7.844261992E-1,1.127248144E0
1.595351208E0,1.165747690E-1,-6.969001052E-1,-7.041240478E-1,9.975219837E-1
1.605388208E0,6.450180531E-1,-3.404745966E-2,-7.729323274E-1,1.007289383E0
1.615424208E0,1.440540513E0,1.105916056E0,-7.815499538E-1,1.977126102E0
1.625461208E0,1.815912462E0,1.636351486E0,-6.384106994E-1,2.526410988E0
1.635498208E0,1.112494758E0,1.418189532E0,-5.142515069E-1,1.874396102E0
1.645534208E0,5.776645607E-1,9.755371803E-1,-6.315951848E-1,1.297798756E0
1.655571208E0,1.918465608E-1,4.637052512E-1,-4.519693047E-1,6.753546589E-1
1.665608208E0,-2.610009956E-1,3.820623332E-1,-9.364549756E-2,4.720832823E-1
1.675644208E0,-1.212572193E-1,2.961912936E-1,3.110063839E-1,4.462707322E-1
1.685681208E0,2.065762818E-2,6.041401684E-2,1.490085141E0,1.491452419E0
1.695718208E0,4.127572918E-1,-4.267678052E-1,1.769045275E0,1.866017290E0
1.705754208E0,6.523586476E-1,-3.193904141E-1,1.715578920E0,1.863006460E0
1.715791208E0,8.563183004E-1,3.076851654E-1,1.934758875E0,2.138046561E0
1.725828208E0,6.087390035E-1,6.499112955E-1,1.497525723E0,1.742277578E0
1.735864208E0,6.917934394E-1,5.779636458E-1,6.633350408E-1,1.119211113E0
1.745901208E0,-2.460859179E-2,5.476908562E-1,-3.778646171E-1,6.658472239E-1
1.755938208E0,-2.546520889E-1,8.421554670E-1,-1.417913543E0,1.668697795E0
1.765974208E0,-2.263971734E-1,1.390704694E0,-1.931891400E0,2.391133541E0
1.776011208E0,-3.374913472E-1,1.208026568E0,-1.465159045E0,1.928709316E0
1.786048208E0,-5.429554886E-1,-3.487738422E-1,6.879050410E-1,9.432164126E-1
1.796084208E0,-4.990879226E-1,-1.888660888E0,3.311499833E0,3.844757450E0
1.806121208E0,-3.794427806E-1,-1.992182626E0,3.806413429E0,4.312951614E0
1.816157208E0,1.943661261E-1,-7.302067226E-1,1.931560448E0,2.074103617E0
1.826194208E0,7.019751960E-1,7.044833592E-1,-1.726975143E-1,1.009401016E0
1.836231208E0,3.786352801E-1,1.347560137E0,-1.181838058E0,1.831945467E0
1.846267208E0,2.706342834E-1,9.367312565E-1,-1.250831110E0,1.585965582E0
1.856304208E0,4.825566745E-1,4.718682566E-1,-1.219112889E0,1.393469351E0
1.866341208E0,4.779759657E-1,-4.444936395E-2,-3.012684309E-1,5.667445961E-1
1.876377208E0,6.947000903E-1,-4.003220183E-1,6.550501209E-1,1.035353367E0
1.886414208E0,5.943881822E-1,-4.087689060E-1,9.359795970E-1,1.181713644E0
1.896451208E0,4.645893502E-1,1.916822541E-1,1.539390618E-1,5.256258989E-1
1.906487208E0,1.855859470E-1,6.715775684E-1,-1.251745030E0,1.432593520E0
1.916524208E0,9.777129292E-3,7.325157881E-1,-1.237909933E0,1.438435252E0
1.926561208E0,5.110875785E-2,9.276057994E-1,-9.959726143E-1,1.361993419E0
1.936597208E0,-7.499521852E-2,1.103987937E0,-1.437652574E0,1.814182617E0
1.946634208E0,-6.584093463E-1,6.642855057E-1,-1.431327056E0,1.709817312E0
1.956671208E0,-1.191432754E0,3.083274820E-1,-1.196877097E0,1.716709827E0
1.966707208E0,-1.122950165E0,7.889554524E-1,-1.107625782E0,1.763605016E0
1.976744208E0,-6.428095597E-1,8.527053058E-1,-8.224576592E-1,1.347867601E0
1.986781208E0,-5.117196625E-1,-2.309612176E-1,1.144054520E-1,5.729648371E-1
1.996817208E0,-6.799920040E-1,-2.227071710E0,1.932663233E0,3.026123708E0
2.006854208E0,-8.984738016E-1,-3.514974167E0,3.749014821E0,5.217030832E0
2.016891208E0,-4.525528568E-1,-2.833960362E0,4.259945694E0,5.136465004E0
2.026927208E0,3.938181603E-1,-1.562473086E0,3.193736326E0,3.577200946E0
2.036964208E0,6.246346593E-1,-2.478500229E-1,8.409073788E-1,1.076440110E0
2.047001208E0,6.929412478E-1,9.203391722E-1,-1.403313630E0,1.815621356E0
2.057037208E0,-1.335340333E-1,1.205429235E0,-2.512883611E0,2.790246409E0
2.067074208E0,-8.433468372E-1,8.931566361E-1,-2.399669237E0,2.695806950E0
2.077111208E0,-4.266385818E-1,5.092009744E-1,-1.475356590E0,1.618018287E0
2.087147208E0,3.941578835E-1,1.793370277E-2,-2.102904332E-1,4.471063868E-1
2.097184208E0,4.069796580E-1,-7.732416451E-1,7.154173601E-1,1.129317087E0
2.107221208E0,-1.694640040E-2,-9.939623415E-1,1.048666552E0,1.444973998E0
2.117257208E0,-2.716458517E-1,-9.547044280E-1,1.335099428E0,1.663653358E0
2.127294208E0,-3.361160821E-1,-6.439851424E-1,8.893117994E-1,1.148288448E0
2.137330208E0,-2.405024117E-1,-1.013550514E-1,-1.106655729E-1,2.834803794E-1
2.147367208E0,-2.814370143E-1,2.312696582E-1,-6.887499636E-1,7.791463022E-1
2.157404208E0,-5.142579389E-1,2.572333422E-1,-9.021499461E-1,1.069815286E0
2.167440208E0,-8.486689728E-1,-8.262115717E-3,-8.559101647E-1,1.205358660E0
2.177477208E0,-1.097125937E0,-4.246707013E-1,-6.524867016E-1,1.345276708E0
2.187514333E0,-9.723124409E-1,-8.202865881E-1,-5.654163980E-1,1.392105338E0
2.197550333E0,-7.858605212E-1,-1.118287010E0,-1.504611379E-1,1.375056781E0
2.207587333E0,-3.518988866E-1,-8.315316609E-1,5.866458839E-1,1.076768834E0
2.217624333E0,6.651827610E-1,-7.593632787E-2,1.063613205E0,1.256784580E0
2.227660333E0,1.337018484E0,7.291583169E-1,1.231435311E0,1.958500243E0
2.237697333E0,1.373701576E0,1.066490912E0,9.308504194E-1,1.972546929E0
2.247734333E0,8.658124244E-1,7.011247185E-1,1.935989714E-1,1.130790691E0
2.257770333E0,2.783391595E-2,5.500154167E-2,-6.358104426E-1,6.387916838E-1
2.267807333E0,-6.922191167E-1,-3.244286674E-1,-1.631796505E0,1.801993646E0
2.277844333E0,-7.855196285E-1,-5.342326123E-1,-2.016180768E0,2.228773308E0
2.287880333E0,-1.923827505E-1,-4.096155828E-1,-1.669532096E0,1.729778445E0
2.297917333E0,2.737350619E-1,-2.234601170E-1,-6.400695544E-1,7.311322333E-1
2.307954333E0,8.536221492E-1,-2.974674484E-1,3.727997589E-1,9.778227430E-1
2.317990333E0,9.651811767E-1,-6.201054060E-1,6.990106577E-1,1.343399166E0
2.328027333E0,9.827485514E-1,-5.413185605E-1,3.324288279E-1,1.170183500E0
2.338064333E0,1.412274488E0,-1.331586421E-1,-3.607849002E-2,1.418996868E0
