"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.619844417E0,8.762264617E-1,-5.197219426E-1,9.210633498E-1,1.373405040E0
1.629832417E0,7.131264941E-1,-8.226407502E-1,1.081447213E0,1.534540737E0
1.639820416E0,7.278570190E-1,-8.361071071E-1,1.046698964E0,1.524608034E0
1.649808417E0,1.009521782E0,-9.047860171E-1,6.835857028E-1,1.518242859E0
1.659796417E0,1.173264432E0,-1.071556721E0,3.088166016E-1,1.618688026E0
1.669784416E0,9.849490048E-1,-1.123069594E0,2.417379284E-1,1.513224068E0
1.679773417E0,9.859489518E-1,-1.089008832E0,3.048036575E-2,1.469341561E0
1.689761417E0,1.089448543E0,-9.426096086E-1,-6.682993269E-1,1.588091619E0
1.699749417E0,9.833104688E-1,-6.189111122E-1,-1.238940797E0,1.698506621E0
1.709737417E0,4.512541171E-1,-2.840656301E-1,-1.431306590E0,1.527403718E0
1.719725417E0,-3.866559058E-1,-1.445000477E-1,-1.266754248E0,1.332309790E0
1.729714416E0,2.217160387E-1,-1.670798019E-2,-1.073802563E0,1.096580641E0
1.739702417E0,3.268211288E-1,-2.044541810E-1,-6.889604634E-1,7.894808943E-1
1.749690417E0,4.176085074E-1,-3.400990592E-1,-1.149375486E-1,5.507039818E-1
1.759678417E0,5.553571406E-1,-2.756535333E-1,1.345695752E-1,6.344410096E-1
1.769666417E0,3.983240247E-1,-3.309073824E-1,3.542371881E-1,6.274119140E-1
1.779655416E0,3.202783138E-1,-5.112808290E-1,5.545171881E-1,8.194361453E-1
1.789643417E0,3.839479141E-1,-6.067114815E-1,7.387606144E-1,1.030185453E0
1.799631417E0,5.476917698E-1,-6.163936666E-1,7.921065170E-1,1.143389768E0
1.809619416E0,5.666049543E-1,-5.723557274E-1,7.572834241E-1,1.105491039E0
1.819607417E0,4.560867678E-1,-5.371334890E-1,8.578830153E-1,1.110176019E0
1.829596417E0,2.681426021E-1,-5.942162740E-1,9.736812741E-1,1.171771590E0
1.839584417E0,-2.022332624E-3,-6.334463402E-1,1.002761816E0,1.186081623E0
1.849572417E0,-2.971839681E-1,-5.452292515E-1,1.158545675E0,1.314466176E0
1.859560417E0,-4.752916552E-1,-3.757147421E-1,1.442478281E0,1.564547000E0
1.869548417E0,-5.487743452E-1,-4.617403675E-1,1.626567340E0,1.777661037E0
1.879536417E0,-5.584574074E-1,-6.589181272E-1,1.692072528E0,1.899778201E0
1.889525417E0,-4.855007841E-1,-7.836525395E-1,1.664440341E0,1.902678103E0
1.899513416E0,-2.921149803E-1,-8.022322134E-1,1.468648079E0,1.698774519E0
1.909501417E0,-6.562056039E-2,-7.453139544E-1,1.275370120E0,1.478637174E0
1.919489417E0,6.952902205E-2,-6.727745665E-1,1.076360135E0,1.271224230E0
1.929477416E0,6.152235657E-2,-6.023401031E-1,8.728325915E-1,1.062278369E0
1.939466417E0,-1.516815249E-2,-5.457362781E-1,6.360384840E-1,8.382142395E-1
1.949454417E0,-2.133822946E-1,-5.240615999E-1,3.755654919E-1,6.791332733E-1
1.959442417E0,-4.363095841E-1,-5.635966714E-1,1.601388645E-1,7.305146933E-1
1.969430417E0,-5.751221182E-1,-5.138691721E-1,2.133648992E-2,7.715453472E-1
1.979418417E0,-5.798901937E-1,-4.125595828E-1,-5.434636116E-2,7.137447534E-1
1.989407416E0,-6.128336990E-1,-2.799317218E-1,-1.131412840E-1,6.831748397E-1
1.999395417E0,-6.686142725E-1,-1.611111834E-1,-1.302975994E-1,6.999852308E-1
2.009383417E0,-6.608476353E-1,-1.074949202E-1,-2.070732951E-1,7.008238755E-1
2.019371417E0,-6.032509166E-1,-2.476032704E-2,-3.528958368E-1,6.993284020E-1
2.029359417E0,-4.358430494E-1,4.569313981E-2,-3.301314569E-1,5.486654769E-1
2.039348416E0,-2.034343901E-1,1.895820804E-1,-3.506522602E-1,4.475309194E-1
2.049336417E0,-1.434441502E-1,3.062666309E-1,-5.926889813E-1,6.823896995E-1
2.059324417E0,-5.362883471E-2,2.983085704E-1,-6.363513100E-1,7.048454049E-1
2.069312416E0,3.624447785E-2,3.106375708E-1,-6.812965178E-1,7.496494566E-1
2.079300417E0,1.190967828E-1,3.399490781E-1,-6.968945503E-1,7.844816337E-1
2.089289417E0,1.034359293E-1,3.205383687E-1,-5.592405689E-1,6.528352404E-1
2.099277417E0,4.776250597E-2,2.194318239E-1,-4.869871098E-1,5.362723445E-1
2.109265417E0,6.426013257E-2,2.249043792E-1,-3.960962355E-1,4.600038828E-1
2.119253417E0,5.956511077E-2,2.992572811E-1,-2.026136237E-1,3.662720345E-1
2.129241417E0,-7.846079014E-2,3.200548039E-1,-3.480730534E-2,3.313649372E-1
2.139229417E0,-2.547588371E-1,2.870553115E-1,-2.090555012E-2,3.843694303E-1
2.149218417E0,-3.745993126E-1,2.770863935E-1,-8.767841399E-2,4.741192031E-1
2.159206416E0,-4.736171588E-1,2.572201860E-1,-8.449928284E-2,5.455415346E-1
2.169194417E0,-5.527291095E-1,2.006150454E-1,-1.140131038E-1,5.989614786E-1
2.179182417E0,-5.996307957E-1,1.492188969E-1,-1.873143840E-1,6.456857199E-1
2.189170416E0,-6.260829415E-1,5.487948105E-2,-1.577713269E-1,6.479841037E-1
2.199159417E0,-6.320126760E-1,-6.064790547E-2,-9.833730340E-2,6.424861215E-1
2.209147417E0,-5.916823100E-1,-1.253020307E-1,-9.884308755E-2,6.128282882E-1
2.219135417E0,-4.816935524E-1,-2.137505230E-1,-1.354238534E-1,5.441117390E-1
2.229123417E0,-4.905414494E-1,-3.008949400E-1,-1.851158309E-1,6.045134816E-1
2.239111417E0,-4.872268822E-1,-3.463843775E-1,-2.245675796E-1,6.385943701E-1
2.249100416E0,-4.142645578E-1,-3.670171550E-1,-1.758515024E-1,5.807240884E-1
2.259088417E0,-3.901006833E-1,-3.260853298E-1,4.106090248E-2,5.100942885E-1
2.269076417E0,-5.037825058E-1,-2.962991747E-1,3.693282670E-1,6.913706552E-1
2.279064417E0,-7.028755210E-1,-3.255020700E-1,6.757691449E-1,1.027934596E0
2.289052417E0,-8.339981626E-1,-3.481930675E-1,9.498187870E-1,1.311086220E0
2.299041416E0,-8.868512180E-1,-2.537849468E-1,1.093659123E0,1.430734832E0
2.309029417E0,-9.374370886E-1,-1.452708569E-1,9.342014587E-1,1.331399370E0
2.319017417E0,-9.643818623E-1,-3.704942018E-2,6.374833310E-1,1.156628736E0
2.329005416E0,-9.624370784E-1,1.307150906E-1,3.578887743E-1,1.035111559E0
2.338993417E0,-9.661821469E-1,2.809758152E-1,8.347660482E-2,1.009665139E0
2.348981417E0,-9.114733315E-1,3.757508487E-1,-8.632302940E-2,9.896585268E-1
2.358970417E0,-8.743280900E-1,4.694230972E-1,-2.044239217E-1,1.013211130E0
2.368958417E0,-8.373993418E-1,5.756779692E-1,-3.067782623E-1,1.061487486E0
2.378946417E0,-8.186951222E-1,6.663030875E-1,-3.683634764E-1,1.117995151E0
2.388934417E0,-8.063020948E-1,6.664470752E-1,-3.669326627E-1,1.108564094E0
2.398922417E0,-6.890015401E-1,5.652192007E-1,-3.405178660E-1,9.540169203E-1
2.408911417E0,-4.866443168E-1,5.274290845E-1,-2.470460308E-1,7.589702705E-1
2.418899416E0,-1.764816130E-1,6.207390980E-1,-2.204400301E-2,6.457156693E-1
2.428887417E0,-2.468891061E-1,6.883524992E-1,3.531408352E-1,8.120910314E-1
2.438875417E0,-6.183994078E-1,7.855552965E-1,9.253633922E-1,1.362282041E0
2.448863416E0,-8.751366869E-1,8.304623513E-1,1.313016248E0,1.783127479E0
2.458852417E0,-1.186898531E0,7.541590375E-1,1.435323628E0,2.009387442E0
2.468840417E0,-1.452848464E0,6.500531635E-1,1.449665093E0,2.152874046E0
2.478828417E0,-1.565653094E0,7.111581751E-1,1.411405592E0,2.224653076E0
2.488816417E0,-1.567335923E0,7.844145048E-1,1.165900303E0,2.105034804E0
2.498804417E0,-1.536640526E0,7.614392596E-1,7.500890100E-1,1.871813926E0
2.508793416E0,-1.491215846E0,7.927758770E-1,4.687917441E-1,1.752707617E0
2.518781417E0,-1.544653989E0,9.174695780E-1,2.819293499E-1,1.818568264E0
2.528769417E0,-1.765444413E0,1.067741558E0,4.698003888E-2,2.063752198E0
2.538757417E0,-2.080314053E0,1.219412705E0,-7.217452168E-2,2.412443380E0
2.548745417E0,-2.411232106E0,1.321469860E0,-2.818995291E-1,2.764017042E0
2.558733417E0,-2.664225340E0,1.450889793E0,-5.618039882E-1,3.085255512E0
2.568722417E0,-2.673037386E0,1.628559048E0,-7.393944526E-1,3.216214794E0
2.578710417E0,-2.529508415E0,1.761205913E0,-8.697271353E-1,3.202605873E0
2.588698416E0,-2.415831818E0,1.827002145E0,-9.786636865E-1,3.183074430E0
2.598686417E0,-2.369112419E0,1.798842978E0,-1.016398693E0,3.143500599E0
2.608674417E0,-2.247018756E0,1.686941450E0,-9.464408505E-1,2.964897136E0
2.618663417E0,-1.976300418E0,1.517917595E0,-7.419713205E-1,2.600068963E0
2.628651417E0,-1.637794872E0,1.391434719E0,-5.763957149E-1,2.225015649E0
2.638639417E0,-1.264216410E0,1.291273085E0,-3.075413239E-1,1.833087825E0
2.648627417E0,-9.612851769E-1,1.215494924E0,-7.462333560E-2,1.551472121E0
2.658615417E0,-7.470757936E-1,1.088274714E0,8.364968240E-2,1.322672055E0
2.668604417E0,-6.954862484E-1,9.456504531E-1,1.790709794E-1,1.187443606E0
2.678592416E0,-6.903781208E-1,7.745616540E-1,1.712017965E-1,1.051607227E0
2.688580417E0,-6.461259542E-1,6.457273203E-1,9.121773362E-2,9.180213483E-1
2.698568417E0,-4.584265311E-1,4.931888129E-1,-1.596576387E-1,6.920120311E-1
2.708556416E0,-7.294416144E-2,3.301191777E-1,-5.307342231E-1,6.292680969E-1
2.718545417E0,4.022380047E-1,1.947353777E-1,-8.094867808E-1,9.246545993E-1
2.728533417E0,8.313312475E-1,1.221992058E-1,-9.522529829E-1,1.269972453E0
2.738521417E0,1.107180663E0,5.577527449E-2,-9.279461074E-1,1.445698405E0
2.748509417E0,1.242219769E0,-1.005006270E-1,-8.667801386E-1,1.518063945E0
2.758497417E0,1.251065145E0,-3.229626243E-1,-6.940481257E-1,1.466687306E0
2.768486416E0,1.519027981E0,-3.483376399E-1,-2.612863398E-1,1.580207477E0
2.778474417E0,1.836488814E0,-3.233752915E-1,5.137129784E-2,1.865449478E0
2.788462417E0,1.884216566E0,-5.238850871E-1,8.828126192E-2,1.957682618E0
2.798450417E0,1.806444212E0,-7.274697872E-1,2.057284355E-2,1.947530802E0
2.808438417E0,1.849545939E0,-8.188937813E-1,-1.125577319E-1,2.025852031E0
2.818426417E0,2.017255194E0,-8.727295344E-1,-3.264108735E-1,2.222052973E0
2.828415417E0,2.285445487E0,-8.565694383E-1,-5.494125688E-1,2.501764667E0
2.838403417E0,2.721600559E0,-7.290274854E-1,-8.069666308E-1,2.930833639E0
2.848391416E0,3.017016512E0,-6.351871294E-1,-1.083563320E0,3.268020928E0
2.858379417E0,3.196573395E0,-5.620538105E-1,-1.304820791E0,3.498077079E0
2.868367417E0,3.266119300E0,-5.017639008E-1,-1.529156821E0,3.641101877E0
2.878356417E0,3.326389768E0,-4.946469623E-1,-1.719170280E0,3.776915535E0
